ispb,compe,participates_in_compe,name
00000000,001,1,BCO DO BRASIL S.A.
04902979,003,1,BCO DA AMAZONIA S.A.
07237373,004,1,BCO DO NORDESTE DO BRASIL S.A.
33657248,007,0,BNDES
81723108,010,1,CREDICOAMO
61809182,011,0,C.SUISSE HEDGING-GRIFFO CV S/A
04866275,012,0,BANCO INBURSA
09274232,014,0,STATE STREET BR S.A. BCO COMERCIAL
02819125,015,0,UBS BRASIL CCTVM S.A.
04715685,016,0,CCM DESP TRÂNS SC E RS
42272526,017,1,BNY MELLON BCO S.A.
57839805,018,1,BCO TRICURY S.A.
28127603,021,1,BCO BANESTES S.A.
10866788,024,0,BCO BANDEPE S.A.
03323840,025,1,BCO ALFA S.A.
33885724,029,0,BANCO ITAÚ CONSIGNADO S.A.
90400888,033,1,BCO SANTANDER (BRASIL) S.A.
06271464,036,1,BCO BBI S.A.
04913711,037,1,BCO DO EST. DO PA S.A.
03609817,040,0,BCO CARGILL S.A.
92702067,041,1,BCO DO ESTADO DO RS S.A.
13009717,047,1,BCO DO EST. DE SE S.A.
04913129,060,0,CONFIDENCE CC S.A.
03012230,062,1,HIPERCARD BM S.A.
04184779,063,1,BANCO BRADESCARD
04332281,064,0,GOLDMAN SACHS DO BRASIL BM S.A
48795256,065,1,BCO ANDBANK S.A.
02801938,066,0,BCO MORGAN STANLEY S.A.
61033106,069,1,BCO CREFISA S.A.
00000208,070,1,BRB - BCO DE BRASILIA S.A.
03017677,074,1,BCO. J.SAFRA S.A.
03532415,075,0,BCO ABN AMRO S.A.
07656500,076,0,BCO KDB BRASIL S.A.
00416968,077,1,BANCO INTER
34111187,078,0,HAITONG BI DO BRASIL S.A.
09516419,079,0,PICPAY BANK - BANCO MÚLTIPLO S.A
73622748,080,0,B&T CC LTDA.
10264663,081,0,BANCOSEGURO S.A.
07679404,082,0,BANCO TOPÁZIO S.A.
10690848,083,1,BCO DA CHINA BRASIL S.A.
02398976,084,1,SISPRIME DO BRASIL - COOP
