Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO FLEXIVEL PEX MONOCAMADA DN16; ; MT; 76.16; 16; RU1001; RU1001
 ; TUBO FLEXIVEL PEX MONOCAMADA DN20; ; MT; 25.68; 20; RU1002; RU1002
 ; TUBO FLEXIVEL PEX MONOCAMADA DN25; ; MT; 89.22; 25; RU1003; RU1003
 ; CONEXAO MOVEL ANEL DESLIZANTE 16X1/2" - PEX; ; PC; 4.00; 16X3/4"; RU1024; RU1024
 ; TUBO MULTICAMADA 16MM - GAS; ; MT; 3.90; 16; RU1032; RU1032
 ; TUBO MULTICAMADA 20MM - GAS; ; MT; 0.32; 20; RU1033; RU1033
 ; KIT CHUVEIRO COM DOIS REGISTROS E MISTURADOR ; ; PC; 3.00; 16MM; RU1094; RU1094
 ; TUBO CAMISA DE 25MM - GAS; ; MT; 12.92; 25; RU1095; RU1095
 ; TUBULACAO DE EXAUSTAO  80MM; ; PC; 2.63; 80MM; RU1096; RU1096
 ; TUBO CPVC 28MM; ; MT; 5.24; 28; RU1158; RU1158
 ; CARENAGEM  700X350MM; ; PC; 4.00; 700X350MM; RU1240; RU1240
