Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 25MM; ; MT; 45.81; 25; RU1098; RU1098
 ; TUBO CPVC 73MM; ; MT; 43.87; 73; RU1162; RU1162
 ; JOELHO 90 CPVC 73MM; ; PC; 12.00; 73MM; RU1192; RU1192
 ; TE CPVC 73MM; ; PC; 4.00; 73MM; RU1226; RU1226
 ; REGISTRO GAVETA BRUTO 25 (1"); ; PC; 1.00; 25; RU1252; RU1252
 ; REGISTRO GAVETA BRUTO 50 (2"); ; PC; 5.00; 50; RU1255; RU1255
 ; REGISTRO GAVETA BRUTO 80 (3"); ; PC; 21.00; 80; RU1257; RU1257
 ; TUBOS DE ACO GALVANIZADO 50MM; ; MT; 23.38; 1; RU1358; RU1358
 ; TE DE ACO GALVANIZADO 50MM; ; PC; 3.00; 1; RU1368; RU1368
 ; COTOVELO 90 DE ACO GALVANIZADO 50MM; ; PC; 13.00; 1; RU1378; RU1378
 ; TUBO PVC SERIE NORMAL 50MM; ; MT; 2.55; 1; RU1394; RU1394
 ; TUBO PVC SERIE NORMAL 75MM; ; MT; 23.00; 1; RU1395; RU1395
 ; TUBO PVC SERIE NORMAL 100MM; ; MT; 12.80; 1; RU1396; RU1396
 ; JOELHO 90 PVC SERIE NORMAL 50MM; ; PC; 2.00; 1; RU1409; RU1409
 ; JOELHO 90 PVC SERIE NORMAL 75MM; ; PC; 8.00; 1; RU1410; RU1410
 ; JOELHO 90 PVC SERIE NORMAL 100MM; ; PC; 6.00; 1; RU1411; RU1411
 ; TE PVC SERIE NORMAL 75X50; ; PC; 1.00; 1; RU1432; RU1432
 ; TE PVC SERIE NORMAL 75X75; ; PC; 2.00; 1; RU1433; RU1433
 ; TERMINAL DE VENTILACAO 100; ; PC; 33.00; 1; RU1442; RU1442
 ; TUBO PVC SOLDAVEL 75MM; ; MT; 56.78; 1; RU1443; RU1443
 ; JOELHO 90 PVC SOLDAVEL 75MM; ; PC; 17.00; 1; RU1446; RU1446
 ; TE PVC SOLDAVEL 75MM; ; PC; 5.00; 1; RU1452; RU1452
 ; CAIXA SIFONADA 150X185X75MM; ; PC; 1.00; 1; RU1557; RU1557
 ; CAIXA SIFONADA 100X100X40MM; ; PC; 3.00; 1; RU1655; RU1655
 ; TORNEIRA ESFERA 1/2" ; ; PC; 4.00; 1; RU1720; RU1720
 ; GRELHA HEMISFERICA; ; PC; 36.00; 1; RU1721; RU1721
