Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO MULTICAMADA 26MM - GAS; ; MT; 68.91; 26; RU1034; RU1034
 ; JOELHO 90 COM ROSCA 26X3/4" - GAS; ; PC; 5.00; 26X3/4"; RU1056; RU1056
 ; TUBO PVC SOLDAVEL 32MM; ; MT; 76.11; 32; RU1099; RU1099
 ; CURVA 90 PVC SOLDAVEL 32MM; ; PC; 45.00; 32; RU1124; RU1124
 ; TUBO CAMISA DE 40MM - GAS; ; MT; 69.01; 25; RU1249; RU1249
 ; REGISTRO GAVETA BRUTO 40 (1 1/2"); ; PC; 5.00; 40; RU1254; RU1254
 ; TUBO AÇO POLIETILENO 32MM - SISGAS; ; MT; 2.32; 32; RU1270; RU1270
 ; COTOVELO 90 32MM - SISGAS; ; PC; 4.00; 1; RU1302; RU1302
 ; TE 32MM - SISGAS; ; PC; 3.00; 1; RU1311; RU1311
 ; ADAPTADOR MACHO 32 X 3/4" - SISGAS; ; PC; 4.00; 1; RU1335; RU1335
 ; VALVULA ESFERICA 32MM - SISGAS; ; PC; 5.00; 1; RU1348; RU1348
 ; SUPORTE PARA MEDIDOR; ; PC; 4.00; 1; RU1350; RU1350
 ; KIT INCENDIO (ABRIGO, MANGUEIRA, CHAVE STORS, TAMPÃO STORS, ADAPTADOR E BICO JATO); ; PC; 1.00; 1; RU1351; RU1351
 ; VALVULA PARA HIDRANTE 45 50MM; ; PC; 1.00; 1; RU1352; RU1352
 ; TUBOS DE ACO GALVANIZADO 50MM; ; MT; 3.00; 1; RU1358; RU1358
 ; TE DE ACO GALVANIZADO 50MM; ; PC; 1.00; 1; RU1368; RU1368
 ; LUVA DE ACO GALVANIZADO 50MM; ; PC; 1.00; 1; RU1388; RU1388
