Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 25MM; ; MT; 17.24; 25; RU1098; RU1098
 ; TUBO PVC SOLDAVEL 32MM; ; MT; 30.63; 32; RU1099; RU1099
 ; TUBO PVC SOLDAVEL 50MM; ; MT; 192.24; 50; RU1101; RU1101
 ; BUCHA DE REDUCAO PVC SOLDAVEL LONGA 75X50MM; ; PC; 4.00; 60; RU1113; RU1113
 ; CURVA 90 PVC SOLDAVEL 50MM; ; PC; 31.00; 50; RU1126; RU1126
 ; JOELHO 45 PVC SOLDAVEL 50MM; ; PC; 1.00; 50; RU1132; RU1132
 ; TE PVC SOLDAVEL 25MM; ; PC; 1.00; 25; RU1151; RU1151
 ; TE PVC SOLDAVEL 50MM; ; PC; 15.00; 50; RU1154; RU1154
 ; TUBO CPVC 42MM; ; MT; 123.68; 42; RU1160; RU1160
 ; TUBO CPVC 73MM; ; MT; 96.88; 73; RU1162; RU1162
 ; BUCHA DE REDUCAO CPVC 54X42MM; ; PC; 5.00; 54X42MM; RU1170; RU1170
 ; BUCHA DE REDUCAO CPVC 73X54MM; ; PC; 3.00; 73X54MM; RU1171; RU1171
 ; JOELHO 45 CPVC 42MM; ; PC; 1.00; 42MM; RU1181; RU1181
 ; JOELHO 90 CPVC 42MM; ; PC; 55.00; 42MM; RU1190; RU1190
 ; JOELHO 90 CPVC 73MM; ; PC; 22.00; 73MM; RU1192; RU1192
 ; TE CPVC 42MM; ; PC; 7.00; 42MM; RU1224; RU1224
 ; TE CPVC 73MM; ; PC; 1.00; 73MM; RU1226; RU1226
 ; TE 90 REDUCAO CPVC 73X54MM; ; PC; 2.00; 73X54MM; RU1239; RU1239
 ; TUBO PVC SERIE NORMAL 100MM; ; MT; 2.06; 1; RU1396; RU1396
 ; JOELHO 45 PVC SERIE NORMAL 100MM; ; PC; 2.00; 1; RU1407; RU1407
 ; JOELHO 90 PVC SERIE NORMAL 100MM; ; PC; 1.00; 1; RU1411; RU1411
 ; TE PVC SERIE NORMAL 100X100; ; PC; 2.00; 1; RU1436; RU1436
 ; TUBO PVC SOLDAVEL 75MM; ; MT; 66.10; 1; RU1443; RU1443
 ; JOELHO 90 PVC SOLDAVEL 75MM; ; PC; 19.00; 1; RU1446; RU1446
 ; TE PVC SOLDAVEL 75MM; ; PC; 3.00; 1; RU1452; RU1452
 ; TE REDUCAO PVC SOLDAVEL 75X50; ; PC; 3.00; 1; RU1456; RU1456
 ; Registro Esfera CPVC 42MM; ; PC; 2.00; 1; RU1675; RU1675
 ; Registro Esfera CPVC 73MM; ; PC; 2.00; 1; RU1677; RU1677
 ; Registro Gaveta CPVC 42MM; ; PC; 2.00; 1; RU1684; RU1684
 ; Registro Gaveta CPVC 73MM; ; PC; 2.00; 1; RU1686; RU1686
 ; MOTOBOMBA V: 9,50 M3/H P: 3/4CV; ; PC; 4.00; 1; RU1694; RU1694
 ; MOTOBOMBA V: 20,50 M3/H P: 2CV; ; PC; 5.00; 1; RU1695; RU1695
 ; DOSADOR DE CLORO ; ; PC; 2.00; 1; RU1696; RU1696
 ; REGISTRO ESFERA 25MM; ; PC; 4.00; 1; RU1707; RU1707
 ; REGISTRO ESFERA 32MM; ; PC; 1.00; 1; RU1708; RU1708
 ; REGISTRO ESFERA 50MM; ; PC; 9.00; 1; RU1710; RU1710
 ; REGISTRO ESFERA 75MM; ; PC; 6.00; 1; RU1712; RU1712
 ; JOELHO 90 PVC SOLDAVEL 25MM; ; PC; 9.00; 1; RU1715; RU1715
 ; JOELHO 90 PVC SOLDAVEL 32MM; ; PC; 4.00; 1; RU1716; RU1716
 ; JOELHO 90 PVC SOLDAVEL 50MM; ; PC; 45.00; 1; RU1718; RU1718
