Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 32MM; ; MT; 2.69; 32; RU1099; RU1099
 ; TUBO PVC SOLDAVEL 40MM; ; MT; 27.52; 40; RU1100; RU1100
 ; TUBO PVC SOLDAVEL 50MM; ; MT; 17.27; 50; RU1101; RU1101
 ; CURVA 90 PVC SOLDAVEL 32MM; ; PC; 2; 32; RU1124; RU1124
 ; CURVA 90 PVC SOLDAVEL 40MM; ; PC; 2; 40; RU1125; RU1125
 ; LUVA PVC SOLDAVEL 40MM; ; PC; 2; 40; RU1139; RU1139
 ; LUVA PVC SOLDAVEL 50MM; ; PC; 3; 50; RU1140; RU1140
 ; TE REDUCAO PVC SOLDAVEL 40X32X40MM; ; PC; 8; 40; RU1145; RU1145
 ; TE REDUCAO PVC SOLDAVEL 50X32X50MM; ; PC; 6; 50; RU1148; RU1148
 ; TUBO CPVC 73MM; ; MT; 133.88; 73; RU1162; RU1162
 ; TE 90 REDUCAO CPVC 73X54MM; ; PC; 1; 73X54MM; RU1239; RU1239
 ; TUBO AÇO POLIETILENO 50MM - SISGAS; ; MT; 7.87; 50; RU1272; RU1272
 ; TUBO AÇO POLIETILENO 63MM - SISGAS; ; MT; 22.27; 63; RU1273; RU1273
 ; TUBO AÇO POLIETILENO 75MM - SISGAS; ; MT; 31.09; 75; RU1274; RU1274
 ; TUBO PVC SOLDAVEL 75MM; ; MT; 17.26; 1; RU1443; RU1443
 ; LUVA PVC SOLDAVEL 75MM; ; PC; 6; 1; RU1460; RU1460
 ; TE DE REDUCAO CENTRAL 50X32MM - SISGAS; ; PC; 3; 1; RU1468; RU1468
 ; TE DE REDUCAO CENTRAL 63X50MM - SISGAS; ; PC; 6; 1; RU1471; RU1471
 ; TE DE REDUCAO CENTRAL 75X50MM - SISGAS; ; PC; 8; 1; RU1472; RU1472
 ; LUVA 50MM  - SISGAS; ; PC; 2; 1; RU1482; RU1482
 ; LUVA DE REDUCAO FEMEA-FEMEA 50X32; ; PC; 14; 1; RU1492; RU1492
 ; LUVA DE REDUCAO FEMEA-FEMEA 63X50; ; PC; 1; 1; RU1495; RU1495
 ; LUVA DE REDUCAO FEMEA-FEMEA 75X63; ; PC; 1; 1; RU1497; RU1497
