Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 20MM; ; MT; 6.69; 20; RU1097; RU1097
 ; TUBO PVC SOLDAVEL 25MM; ; MT; 7.63; 25; RU1098; RU1098
 ; TUBO PVC SOLDAVEL 60MM; ; MT; 7.29; 60; RU1102; RU1102
 ; BUCHA DE REDUCAO PVC SOLDAVEL LONGA 40X25MM; ; PC; 1.00; 25; RU1105; RU1105
 ; BUCHA DE REDUCAO PVC SOLDAVEL LONGA 50X25MM; ; PC; 1.00; 25; RU1107; RU1107
 ; CURVA 45 PVC SOLDAVEL 60MM; ; PC; 2.00; 60; RU1121; RU1121
 ; CURVA 90 PVC SOLDAVEL 20MM; ; PC; 7.00; 20; RU1122; RU1122
 ; CURVA 90 PVC SOLDAVEL 25MM; ; PC; 14.00; 25; RU1123; RU1123
 ; CURVA 90 PVC SOLDAVEL 60MM; ; PC; 4.00; 60; RU1127; RU1127
 ; JOELHO 45 PVC SOLDAVEL 20MM; ; PC; 2.00; 20; RU1128; RU1128
 ; JOELHO 45 PVC SOLDAVEL 25MM; ; PC; 5.00; 25; RU1129; RU1129
 ; TUBO CPVC 73MM; ; MT; 2.61; 73; RU1162; RU1162
 ; TUBO CPVC 89MM; ; MT; 34.02; 89; RU1163; RU1163
 ; JOELHO 45 CPVC 89MM; ; PC; 2.00; 89MM; RU1184; RU1184
 ; JOELHO 90 CPVC 89MM; ; PC; 5.00; 89MM; RU1193; RU1193
 ; TE CPVC 89MM; ; PC; 1.00; 89MM; RU1227; RU1227
 ; REGISTRO GAVETA BRUTO 100 (4"); ; PC; 7.00; 100; RU1258; RU1258
 ; KIT INCENDIO (ABRIGO, MANGUEIRA, CHAVE STORS, TAMPÃO STORS, ADAPTADOR E BICO JATO); ; PC; 3.00; 1; RU1351; RU1351
 ; VALVULA PARA HIDRANTE 45 50MM; ; PC; 3.00; 1; RU1352; RU1352
