Grupo; Descrição; Fabricante; Unid.; Quant.; Dimensões; Chave; Cod.fabrica
Tubos ;  ;  ;  ;  ;  ;  ; 
 ; TUBO PVC SOLDAVEL 20MM; ; MT; 1.58; 20; RU1097; RU1097
 ; TUBO PVC SOLDAVEL 25MM; ; MT; 339.95; 25; RU1098; RU1098
 ; TUBO PVC SOLDAVEL 32MM; ; MT; 101.96; 32; RU1099; RU1099
 ; TUBO PVC SOLDAVEL 40MM; ; MT; 87.19; 40; RU1100; RU1100
 ; CURVA 45 PVC SOLDAVEL 25MM; ; PC; 15.00; 25; RU1117; RU1117
 ; CURVA 90 PVC SOLDAVEL 20MM; ; PC; 3.00; 20; RU1122; RU1122
 ; CURVA 90 PVC SOLDAVEL 25MM; ; PC; 140.00; 25; RU1123; RU1123
 ; CURVA 90 PVC SOLDAVEL 32MM; ; PC; 42.00; 32; RU1124; RU1124
 ; CURVA 90 PVC SOLDAVEL 40MM; ; PC; 54.00; 40; RU1125; RU1125
 ; JOELHO 45 PVC SOLDAVEL 50MM; ; PC; 2.00; 50; RU1132; RU1132
 ; TE REDUCAO PVC SOLDAVEL 32X25X32MM; ; PC; 6.00; 32; RU1143; RU1143
 ; TE REDUCAO PVC SOLDAVEL 40X25X40MM; ; PC; 3.00; 40; RU1144; RU1144
 ; TE REDUCAO PVC SOLDAVEL 40X32X40MM; ; PC; 2.00; 40; RU1145; RU1145
 ; TE PVC SOLDAVEL 25MM; ; PC; 14.00; 25; RU1151; RU1151
 ; TE PVC SOLDAVEL 32MM; ; PC; 2.00; 32; RU1152; RU1152
 ; TE PVC SOLDAVEL 40MM; ; PC; 4.00; 40; RU1153; RU1153
 ; TUBO CPVC 42MM; ; MT; 5.55; 42; RU1160; RU1160
 ; TUBO CPVC 73MM; ; MT; 44.31; 73; RU1162; RU1162
 ; JOELHO 90 CPVC 42MM; ; PC; 3.00; 42MM; RU1190; RU1190
 ; JOELHO 90 CPVC 73MM; ; PC; 8.00; 73MM; RU1192; RU1192
 ; REGISTRO GAVETA BRUTO 20 (3/4"); ; PC; 21.00; 20; RU1251; RU1251
 ; REGISTRO GAVETA BRUTO 40 (1 1/2"); ; PC; 8.00; 40; RU1254; RU1254
 ; TUBO AÇO POLIETILENO 110MM - SISGAS; ; MT; 17.22; 110; RU1276; RU1276
 ; TUBOS DE ACO GALVANIZADO 50MM; ; MT; 67.35; 1; RU1358; RU1358
 ; TE DE ACO GALVANIZADO 50MM; ; PC; 3.00; 1; RU1368; RU1368
 ; COTOVELO 90 DE ACO GALVANIZADO 50MM; ; PC; 20.00; 1; RU1378; RU1378
 ; TUBO PVC SERIE NORMAL 40MM; ; MT; 14.93; 1; RU1393; RU1393
 ; TUBO PVC SERIE NORMAL 50MM; ; MT; 25.35; 1; RU1394; RU1394
 ; TUBO PVC SERIE NORMAL 75MM; ; MT; 11.82; 1; RU1395; RU1395
 ; TUBO PVC SERIE NORMAL 100MM; ; MT; 312.31; 1; RU1396; RU1396
 ; TUBO PVC SERIE NORMAL 150MM; ; MT; 129.20; 1; RU1397; RU1397
 ; JOELHO 45 PVC SERIE NORMAL 50MM; ; PC; 11.00; 1; RU1405; RU1405
 ; JOELHO 45 PVC SERIE NORMAL 75MM; ; PC; 8.00; 1; RU1406; RU1406
 ; JOELHO 45 PVC SERIE NORMAL 100MM; ; PC; 87.00; 1; RU1407; RU1407
 ; JOELHO 90 PVC SERIE NORMAL 40MM; ; PC; 18.00; 1; RU1408; RU1408
 ; JOELHO 90 PVC SERIE NORMAL 50MM; ; PC; 15.00; 1; RU1409; RU1409
 ; JOELHO 90 PVC SERIE NORMAL 100MM; ; PC; 35.00; 1; RU1411; RU1411
 ; JOELHO 90 PVC SERIE NORMAL 150MM; ; PC; 3.00; 1; RU1412; RU1412
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X50; ; PC; 6.00; 1; RU1418; RU1418
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X75; ; PC; 1.00; 1; RU1419; RU1419
 ; JUNCAO SIMPLES PVC SERIE NORMAL 100X100; ; PC; 1.00; 1; RU1420; RU1420
 ; JUNCAO SIMPLES PVC SERIE NORMAL 150X100; ; PC; 7.00; 1; RU1421; RU1421
 ; TE PVC SERIE NORMAL 50X50; ; PC; 3.00; 1; RU1431; RU1431
 ; TE PVC SERIE NORMAL 100X100; ; PC; 1.00; 1; RU1436; RU1436
 ; TE PVC SERIE NORMAL 150X100; ; PC; 4.00; 1; RU1437; RU1437
