CODIGO;CATEGORIA;DESCRICAO;DIMENSAO;UNIDADE;MATERIAL;TIPO
RU1001;RU_PEX;TUBO FLEXIVEL PEX MONOCAMADA DN16;16;MT;PEX;TUBO
RU1002;RU_PEX;TUBO FLEXIVEL PEX MONOCAMADA DN20;20;MT;PEX;TUBO
RU1003;RU_PEX;TUBO FLEXIVEL PEX MONOCAMADA DN25;25;MT;PEX;TUBO
RU1004;RU_PEX;TUBO FLEXIVEL PEX MONOCAMADA DN32;32;MT;PEX;TUBO
RU1005;RU_PEX;MANIFOLD 2 SAIDA B 1X3/4 - PEX;1X3/4;PC;PEX;-
RU1006;RU_PEX;MANIFOLD 3 SAIDA B 1X3/4 - PEX;1X3/4;PC;PEX;-
RU1007;RU_PEX;TE MACHO ANEL DESLIZANTE 25X3/4 - PEX; 25X3/4;PC;PEX;-
RU1008;RU_PEX;TE REDUCAO ANEL DESLIZANTE 16X20X16 - PEX;16X20X16;PC;PEX;-
RU1009;RU_PEX;TE REDUCAO ANEL DESLIZANTE 20X16X20 - PEX;20X16X20;PC;PEX;-
RU1010;RU_PEX;TE REDUCAO ANEL DESLIZANTE 20X20X16 - PEX;20X20X16;PC;PEX;-
RU1011;RU_PEX;TE REDUCAO ANEL DESLIZANTE 25X16X20 - PEX;25X16X20;PC;PEX;-
RU1012;RU_PEX;TE REDUCAO ANEL DESLIZANTE 25X16X25 - PEX;25X16X25;PC;PEX;-
RU1013;RU_PEX;TE REDUCAO ANEL DESLIZANTE 25X20X25 - PEX;25X20X25;PC;PEX;-
RU1014;RU_PEX;TE ANEL DESLIZANTE 32 - PEX;32;PC;PEX;-
RU1015;RU_PEX;LUVA DE REDUÇÃO ANEL DESLIZANTE 20X16 - PEX;20X16;PC;PEX;-
RU1016;RU_PEX;LUVA DE REDUÇÃO ANEL DESLIZANTE 25X20 - PEX;25X20;PC;PEX;-
RU1017;RU_PEX;LUVA DE REDUÇÃO ANEL DESLIZANTE 32X25 - PEX;32X25;PC;PEX;-
RU1018;RU_PEX;LUVA ANEL DESLIZANTE 32  - PEX;32;PC;PEX;-
RU1019;RU_PEX;"JOELHO TERMINAL MACHO ANEL DESLIZANTE 20X3/4"" - PEX";"20X3/4""";PC;PEX;-
RU1020;RU_PEX;"JOELHO TERMINAL MACHO ANEL DESLIZANTE 25X3/4"" - PEX";"25X3/4""";PC;PEX;-
RU1021;RU_PEX;"JOELHO TERMINAL FEMEA ANEL DESLIZANTE 25X1"" - PEX";"25X1""";PC;PEX;-
RU1022;RU_PEX;"JOELHO TERMINAL FEMEA ANEL DESLIZANTE 32X1"" - PEX";"32X1""";PC;PEX;-
RU1023;RU_PEX;JOELHO 90 ANEL DESLIZANTE 32 - PEX;32;PC;PEX;-
RU1024;RU_PEX;"CONEXAO MOVEL ANEL DESLIZANTE 16X1/2"" - PEX";"16X3/4""";PC;PEX;-
RU1025;RU_PEX;"CONEXAO MOVEL ANEL DESLIZANTE 20X1/2"" - PEX";"20X1/2""";PC;PEX;-
RU1026;RU_PEX;"CONEXAO MOVEL ANEL DESLIZANTE 20X3/4"" - PEX";"20X3/4""";PC;PEX;-
RU1027;RU_PEX;"CONEXAO MOVEL ANEL DESLIZANTE 25X3/4"" - PEX";"25X3/4""";PC;PEX;-
RU1028;RU_PEX;"CONEXAO MACHO ANEL DESLIZANTE 32X1"" - PEX";"32X1""";PC;PEX;-
RU1029;RU_PEX;"JOELHO ROSCA MOVEL ANEL DESLIZANTE 16X1/2"" - PEX";"16X1/2""";PC;PEX;-
RU1030;RU_PEX;"JOELHO ROSCA MOVEL ANEL DESLIZANTE 20X3/4"" - PEX";"20X3/4""";PC;PEX;-
RU1031;RU_PEX;"JOELHO ROSCA MOVEL ANEL DESLIZANTE 25X3/4"" - PEX";"25X3/4""";PC;PEX;-
RU1032;RU_GAS;TUBO MULTICAMADA 16MM - GAS;16;MT;MULTICAMADA;TUBO
RU1033;RU_GAS;TUBO MULTICAMADA 20MM - GAS;20;MT;MULTICAMADA;TUBO
