DATE,QUANTITY,NAME,CODECONTENT,CODETYPE
2025-06-05 15:10:02 -0300,1,"","35250574534496000110590014744860045921128004|20250526|131020|217.80||R4x0LlUXAlP/KxKKsFDHg2PBAvMiRMK3x4ZgwNfrQHgM/5SXDaCZh6e/MtJAp7VdbRRfxh7fdwHDVkTpi4GJBLKoC9HJ61+NNwwehxUrj1sHO0GhHrFVe/xKWjrP7VbRe+LiUm47Yn4bp7zpuM8M54qKUToyEvt3AYtkIT43qSZncX7WOy9aGds+M9fVVlZJfzH+BVbCX0o2TU2goybGYXmbDhRwyLg/64OQZUYzfBjCEGaKRpXFQvvKb8uWFm+zxIF48HZPHB40ViowFY/eM7tGygI7rmBk+ruxxXaQ53wmUlqXB82CkmlVFKooIbFBn2N18WOVCqhnkhV9s52qTw==",15
2025-06-05 15:09:52 -0300,1,"","https://www.nfce.fazenda.sp.gov.br/qrcode?p=35250511941261000122650010000800651941230810|2|1|1|765FEE40A1D6CE3A3530E00BF08A45FD06D7F29B",15
2025-06-05 15:09:42 -0300,1,"","CFe35250523476033001007590013312590291149907540|20250514094412|104.97||knvjcBmN9u9gYHQA2DqJ66WazkF59FySKTptPolJqQuL4enSFTLR8hPZZnbOHeVhirXTJGShDGXbPuDqS8zBl8aro3NYPf3JkdtEsXkRbytu25g0P+DseL4pkfOOjl7aljz1l5S8P/PWuO09d4/+EWxyWkQGNr4s2FQrSgmHwUXY7uYisoGhuszEN7/UmHOd0wDfPchrjQhK54p7RL2hIJm42eZ7QMuwWUDMdBVnJgAi/nhqJzP23ijD7XW/y8bp9deE4oFM+fWh6sw/dC3sUcn68L/aj4XSAeGDjEUzzwea41eXePrhpQ0/9wib9WImkYOPsneIJUhKbpzoZ3TT4g==",15
2025-06-05 15:09:34 -0300,1,"","CFe35250523476033001007590013312620626946347651|20250514101327|157.70||H55Q0+33A1nUh0XNljz3vycF3QaJA7H/Xf3Fm3uf3qxnjbALd9KKwiyB7R5uL4GAttfwo93I0LSZ3Lok09AEoFtoEkBCkNmMErOrPf33DijlKaSyRxaBe2iX7Ecs3Ez54+xu+bDIpDIBDswlEqCWK2RNmK1p1gFJYxjUJLcgRy/035Biq3OGvrfcCdh/FyMZAvyBg0ukVYxpKHpZCgwU2Mx0Jy9Cybe8Ts+Bu6AxiJFfmFanHJ5YoOhTCow3ULgYsrRgKRYam5jLQqV46jM2ZYHPewgGsFyUjzd1w1zrg3K1+za86ngpWqonwO343B8pPQVazf0YdhIEA53exeF/uQ==",15
2025-06-05 15:09:28 -0300,1,"","35250505416077000160590005087074736315207455|20250516054902|237.75||CN5rXcc8cSG8GNH051NPQaWazkFnxJ+3ViuhNyOjQh/uhZ3LSILmIvLhePo616CJ8wYwd0SilQqcLQ7Aybs9QPjCOvLmITC0JZJUQml8XXxcquJylhzVNegwrifCtgQ1FsztYmfEDRZXkzhz2zTVV63gLLx78xVf3TjYJA59svQvd/0hVOSaqyNfglTw3BWLsarbIlFyHWxABKnpkdgcxE4KupVM/lLr27UY+yrRPRj+RYRt5sYXhAub7iEFcihIgkBHUNVOaiu3Vc+eERNxsUADrbplS03tIv1Va562Ixm9AfIJWvfbLBVzRzjCsl3jX14T0iSYPOxxUYiMvF1mCg==",15
2025-06-05 15:09:23 -0300,1,"","35250539259136000156590012455010378228260254|20250515054558|18.04||S4mzMlaz3MciPyPrEoE4hC96HAgwaVBijrVGqM5esNItGn4NrTAHxAlvkKDODTnJC2Nih1T6qWd7lFjk2Cbt20Xlh9g1qchZri6LV76Wlrju9xvQKNCvvX4n+Ay51BM/fm7hcfntlC7oUKnwNBUpioGgNfdBmMpYvYvAubG49ezD7Z6smOKsJ9MKC6KCOut7VwXVSpFhX4lI9FtUMww43CYcxy7nlyHfKiD+kAx2NIpkAMLvOmEit4f7SMCzCabmI4glb8DpSFD7fdi08BpPJSHmpd+lV/eSs+87OsEEvIl0yIIUn2/Q3nP5v+nLZuGZ0PmUx4P2qFrjciYc/2MNxA==",15
2025-06-05 15:08:43 -0300,1,"","35250559276790000509590008712164420396124904|20250510094828|118.56||ivmLZhfyDQ2FgsH7FKMlQSE1aw5lXy+gr8NkGVfB271j4XHWSRsmAhlPGKY5U8kgGyYGT0jacpSL4klZCM1D4b3YOir5Xc6+hWn2aKyei/xyn5TKtCDNy1MTU0TKOX8FM9yNjlQl9+0FmbNRxzCTpewsCPVN5nh3JiffDG6P5QR2wPNihlI5r9z7eRUVDEbbsXcMmi7LzIOtTr/aB5y0HH2QlfEbM42bamyRLmD9CVxIqiDdLcVaEcTwDGDFHfosmJ+DV3tBSx0+/kuhEB4eE8IaoBsu2BMH4M6XbNtZq58OSp4UvwY5NxWvcVu4IqEd2AWG6jSbgJ11gCltFzei/Q==",15
2025-06-05 15:08:18 -0300,1,"","CFe35250523476033001260590014376130149010118099|20250508082026|331.98||ftGJZuKZ413AxeDCsPg8vZ+kRcKMbSSXzYmzyc3jL3En/2YiAsTd0EnMcg3Yszv0DCIoXoYkn9lxEiPD3ovRlOofnwU+DUHJEhgzY7J3qBmnFb6awYWjhf6pfbps15aj6eNpnU330b5WvY1f09fMA55I1y1LZFYIADRnDLbSQekJtv/oNyqOWpKAETWiXDj4e3Nreq6N6jK8dtYHsSj4BYP8d+IHxUwapNQNnwjo71W0LuCXAsRkq9xGr3bjQCwu8Z0HSb/rdAhVtvKCursLUJKq/x/q9OteJxo61LBBy8GU6O1zaYvkdGXRinDPyZCRiS0eyMpu6b0mBIzCCnmhnQ==",15
2025-06-05 15:08:07 -0300,1,"","35250551517078000461590013175091536282873490|20250506063834|26.98||gQX59UvN7IpJutiJq17a2zwqMrDHMUrhLx7UPOLJ4aromz+llA7fUAOWRVnBTZwqJINEuCimO6DDLLbIqSdCuz95OJxMLD6+mRswN+SSRUJumO69zla55BkMRpPcstrezTqCMm/XsHB3KP/+yGo0wcJ48KtyU+NosAwMK7UZElhxYDAnTqdaxAhpDz3byqIc4i+H+GI/aMzHonJmOlknxITakMDbr3DTIpZK0IAKBHjWsmepcrTsaMH8dkSkVTYVfKajf4Z/muJxHl1XDCPMT1/aklPOx/8r5Pp1IDQ5cCkbrJBq/MgTLC6eGK4kv3fcXp0fgFzIk5Kf4F7CwY4gIw==",15
2025-06-05 15:07:56 -0300,1,"","https://www.nfce.fazenda.sp.gov.br/qrcode?p=35250501438784005085650100000018671094655136|2|1|1|a59d4bb1d40f33ea748cad24d8d89ef71fdb06fe",15
2025-06-05 15:07:50 -0300,1,"","CFe35250523476033001260590014376090474148791624|20250519131905|269.80||Gl0T2PllESZtZYOyzKfBUbyz2p09RVXkz20Qx/NCd75vMhKANoPfs+SSqcmJtTKMzwLki2AYOIpVe4rqf6xRAU6euOhbsiJFyfK8KSf+wDCd9glVPpm9CodOrC3fU/tdGms9kwABTeQlCMWV99P4WXfYPw8zNCsIvzVGhSSkVRO0+XzhLjVmL5Dkpep/g98TCVy2+p2Qp6VFF3lcY/OUIiK0RQaBgZ7q9p/jUpagrCoXYoY18AcFSR1/B3GkZndOysvfDjqkaWozuXx/DL5bDyR3Embhtj3tRMQJV/t5gmZP79P/X3Q6AlexPgnKQXUsV4yahYXDAuCSJHFLVmge1Q==",15
